               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13022,              0.1023,            0.040332,           0.0013357,            0.043433,          0.00070578,          0.00015479,            0.082912,             0.14634,            0.026291,              0.0883,              0.0013,              0.0013
                   1,             0.11574,             0.10831,            0.030614,             0.03347,              0.2049,            0.021982,           0.0040525,            0.074059,             0.13048,            0.024338,            0.075647,           0.0026465,           0.0026465
                   2,             0.10758,            0.084381,            0.025691,             0.13204,             0.28224,             0.12912,            0.028358,            0.066187,             0.15022,            0.018723,            0.062938,           0.0039376,           0.0039376
                   3,            0.096669,            0.088171,            0.019039,             0.51023,             0.41067,             0.18674,            0.037599,             0.06814,             0.17093,            0.013126,            0.050173,           0.0051733,           0.0051733
                   4,            0.096412,            0.086252,            0.017109,             0.47646,             0.50494,             0.52142,             0.15901,            0.062088,             0.11955,           0.0096619,            0.037354,           0.0063535,           0.0063535
                   5,            0.090438,            0.093787,            0.014465,             0.68506,             0.43911,             0.44299,             0.15596,            0.059472,             0.11397,            0.007328,            0.024478,           0.0074783,           0.0074783
                   6,            0.090259,            0.087118,            0.014027,              0.4098,             0.29851,             0.13242,            0.026192,            0.069754,             0.10953,            0.006501,            0.011548,           0.0085476,           0.0085476
                   7,            0.090599,            0.090326,             0.01483,             0.63566,             0.43396,              0.3894,             0.10315,            0.058315,             0.11465,           0.0059025,            0.008614,            0.008614,            0.008614
                   8,             0.08309,            0.092379,            0.013098,             0.52119,             0.27651,             0.23546,            0.057197,            0.062829,             0.12537,           0.0055103,            0.008614,            0.008614,            0.008614
                   9,             0.07851,            0.091156,            0.011989,             0.33671,              0.8778,             0.58709,             0.16252,            0.050725,             0.11798,           0.0055828,            0.008416,            0.008416,            0.008416
                  10,            0.072892,            0.095478,             0.01087,              0.6928,             0.52835,             0.54796,             0.19481,            0.048076,             0.11562,           0.0055676,            0.008218,            0.008218,            0.008218
                  11,             0.07088,             0.09095,             0.01146,              0.7839,             0.54036,             0.63959,             0.23137,             0.05739,             0.12701,           0.0055435,             0.00802,             0.00802,             0.00802
                  12,            0.067298,            0.094177,            0.010896,             0.45636,             0.89289,             0.72593,              0.3023,            0.044636,             0.11539,           0.0051941,            0.007822,            0.007822,            0.007822
                  13,            0.064874,            0.088977,           0.0093108,             0.94544,             0.61884,             0.91191,             0.42044,            0.048259,             0.11812,           0.0045986,            0.007624,            0.007624,            0.007624
                  14,            0.065972,            0.088963,           0.0091029,             0.49844,             0.93786,             0.79699,             0.34635,            0.047534,             0.12118,           0.0044556,            0.007426,            0.007426,            0.007426
                  15,            0.062012,            0.086592,            0.009276,             0.66033,             0.93975,             0.85117,             0.34579,             0.03751,             0.10882,             0.00466,            0.007228,            0.007228,            0.007228
                  16,            0.059979,            0.087546,           0.0097573,             0.53405,             0.86438,             0.79857,               0.298,            0.042052,               0.114,           0.0045303,             0.00703,             0.00703,             0.00703
                  17,            0.057656,             0.10088,           0.0084636,              0.5815,             0.93649,             0.94349,             0.42226,            0.036647,             0.11694,           0.0041218,            0.006832,            0.006832,            0.006832
                  18,            0.056493,            0.087582,           0.0076885,              0.6004,             0.91828,             0.88112,             0.40315,            0.034279,             0.10832,           0.0040085,            0.006634,            0.006634,            0.006634
                  19,            0.054587,            0.092419,            0.008758,              0.8001,             0.89291,             0.93008,             0.51775,            0.031332,              0.1048,           0.0039608,            0.006436,            0.006436,            0.006436
                  20,            0.056182,            0.090774,           0.0084787,             0.41102,             0.97636,             0.83014,             0.47391,            0.037907,             0.11386,           0.0038483,            0.006238,            0.006238,            0.006238
                  21,            0.053655,            0.088382,           0.0075459,             0.66847,             0.97711,             0.95245,              0.4671,            0.035957,              0.1074,           0.0038105,             0.00604,             0.00604,             0.00604
                  22,            0.054553,            0.091613,           0.0082629,             0.96993,             0.98277,             0.98002,             0.47401,            0.029691,             0.10477,           0.0038105,            0.005842,            0.005842,            0.005842
                  23,            0.052425,            0.088526,           0.0097516,             0.95462,              0.9841,             0.97832,             0.54574,            0.031893,             0.10395,           0.0035622,            0.005644,            0.005644,            0.005644
                  24,            0.052929,            0.087948,           0.0075289,             0.89926,             0.97624,             0.97683,              0.5741,            0.030493,             0.10406,           0.0035246,            0.005446,            0.005446,            0.005446
                  25,             0.05126,            0.087033,           0.0070977,             0.96695,             0.97802,             0.98184,             0.56002,            0.031062,             0.10472,           0.0033829,            0.005248,            0.005248,            0.005248
                  26,            0.049062,            0.084061,           0.0064574,              0.9794,             0.98023,             0.98218,             0.57813,            0.029136,             0.10169,            0.003294,             0.00505,             0.00505,             0.00505
                  27,            0.047411,            0.083868,           0.0059535,             0.97023,             0.98053,             0.98093,             0.58005,            0.030904,             0.10215,           0.0032503,            0.004852,            0.004852,            0.004852
                  28,             0.04853,             0.08434,           0.0063611,             0.98224,             0.98202,             0.98549,             0.59734,            0.023896,            0.097756,           0.0032177,            0.004654,            0.004654,            0.004654
                  29,            0.048251,            0.089356,           0.0076019,             0.95949,             0.98239,             0.98132,             0.62675,            0.025897,            0.098977,           0.0030745,            0.004456,            0.004456,            0.004456
                  30,            0.045872,            0.077648,           0.0059254,             0.95573,             0.98158,             0.98567,             0.61481,            0.025931,            0.098874,           0.0030045,            0.004258,            0.004258,            0.004258
                  31,            0.045385,            0.082414,           0.0066267,              0.9804,             0.97875,             0.98186,             0.61677,            0.027298,            0.099802,           0.0029329,             0.00406,             0.00406,             0.00406
                  32,            0.045511,            0.083753,            0.006621,             0.96886,               0.981,             0.98413,             0.59589,            0.028518,             0.10058,           0.0029148,            0.003862,            0.003862,            0.003862
                  33,            0.044906,            0.086957,           0.0062912,             0.97806,             0.98833,             0.98569,             0.60739,            0.024298,            0.097253,           0.0028845,            0.003664,            0.003664,            0.003664
                  34,            0.045683,            0.083569,           0.0064517,             0.98431,             0.98522,             0.98603,             0.62021,            0.022938,            0.097442,            0.002862,            0.003466,            0.003466,            0.003466
                  35,            0.042662,             0.08291,           0.0067173,             0.97039,             0.98222,             0.98192,             0.60461,            0.027546,            0.097814,           0.0027349,            0.003268,            0.003268,            0.003268
                  36,            0.044034,            0.080704,            0.006056,             0.98281,             0.98794,             0.98629,             0.62441,             0.02386,              0.0992,           0.0027935,             0.00307,             0.00307,             0.00307
                  37,            0.041598,            0.078458,           0.0057895,             0.98345,             0.99058,             0.98356,             0.62562,            0.022898,            0.094945,           0.0027829,            0.002872,            0.002872,            0.002872
                  38,            0.041635,            0.083796,           0.0057383,             0.98521,             0.99131,             0.98548,             0.59452,             0.02465,            0.098233,           0.0027543,            0.002674,            0.002674,            0.002674
                  39,            0.041741,            0.082385,           0.0060127,             0.98094,             0.98987,             0.98537,             0.58487,            0.026051,              0.1011,           0.0027617,            0.002476,            0.002476,            0.002476
                  40,            0.041125,            0.079609,           0.0060114,             0.98211,             0.98903,             0.98537,             0.62657,             0.02165,            0.095647,           0.0026847,            0.002278,            0.002278,            0.002278
                  41,            0.040366,            0.079232,           0.0056211,             0.98276,             0.99105,             0.98523,             0.62664,            0.023076,            0.095757,           0.0026174,             0.00208,             0.00208,             0.00208
                  42,            0.041021,            0.079502,           0.0057298,             0.98217,             0.99003,             0.98457,             0.62691,            0.022613,            0.094857,            0.002593,            0.001882,            0.001882,            0.001882
                  43,            0.041382,            0.080422,           0.0053597,             0.98403,             0.99157,             0.98586,             0.62008,            0.022624,            0.095067,           0.0025505,            0.001684,            0.001684,            0.001684
                  44,            0.038899,            0.081088,           0.0047406,             0.98155,              0.9913,              0.9861,             0.60938,            0.023243,            0.096417,           0.0025211,            0.001486,            0.001486,            0.001486
                  45,            0.040495,            0.079208,           0.0059848,             0.98369,             0.99259,             0.98612,             0.62945,            0.022256,            0.095584,           0.0024821,            0.001288,            0.001288,            0.001288
                  46,            0.040028,            0.079599,           0.0066253,             0.98347,              0.9917,             0.98625,             0.61437,            0.022306,            0.094743,           0.0024676,             0.00109,             0.00109,             0.00109
                  47,            0.039208,            0.076049,           0.0057425,             0.98273,             0.99195,             0.98584,              0.6266,            0.021805,            0.093934,            0.002453,            0.000892,            0.000892,            0.000892
                  48,            0.039052,            0.082392,           0.0060587,             0.98186,             0.99168,             0.98587,             0.62255,            0.021961,            0.094772,           0.0024522,            0.000694,            0.000694,            0.000694
                  49,            0.037939,            0.079098,           0.0053344,             0.98047,             0.99092,             0.98467,             0.62978,            0.021789,            0.094071,           0.0024643,            0.000496,            0.000496,            0.000496
